intent,예시,response,send_link,utter_ask_more,featureless,entityless
RECOMMEND_BED-GOOD,<제주도>의 침대가 편한 <펜션> 추천을 원하시는군요./<부산>에서 잠자리가 편한 <게스트하우스> 추천을 해드리겠습니다./침대 퀄리티가 좋은 <강남역> <모텔> 원하시는군요. 찾아드릴게요!/편안한 침대가 구빈된 <강남역> <호텔> 추천을 해드릴게요.,<LOCATION-TYPE_FEATURE>에 있는 침대가 편한 <ACCOMMODATION-TYPE_FEATURE> 추천을 원하시는군요. / <LOCATION-TYPE_FEATURE>에서 잠자리가 편한 <ACCOMMODATION-TYPE_FEATURE> 추천을 해드리겠습니다. / 침대 퀄리티가 좋은 <LOCATION-TYPE_FEATURE> <ACCOMMODATION-TYPE_FEATURE> 원하시는군요. 찾아드릴게요! / 편안한 침대가 구비된 <LOCATION-TYPE_FEATURE> <ACCOMMODATION-TYPE_FEATURE> 추천을 해드릴게요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_BED-SIZE,<강남>의 넓은 침대 구비된 <호텔> 추천을 희망하시는군요./<잠실>의 침대가 넓은 <모텔> 추천해드리겠습니다./넓은 침대 구비되어 있는 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요./  <연남동>에서 넓은 침대가 있는 <게스트하우스> 원하시는군요,"<LOCATION-TYPE_FEATURE>에 있는 넓은 침대 구비된 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요.
<LOCATION-TYPE_FEATURE>에 있는 침대가 넓은 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / 넓은 침대 구비되어 있는 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요. <LOCATION-TYPE_FEATURE>에서 찾아드릴게요. / <LOCATION-TYPE_FEATURE>에서 넓은 침대가 있는 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.",아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_BED-TWIN,<강남>의 트윈베드가 있는 <호텔> 추천을 희망하시는군요./<잠실>의  트윈베드를 제공하는 <모텔> 추천해드리겠습니다./<분당>의  트윈베드가 구비된 <호텔>  추천을 희망하시는군요./ 트윈베드가 구비되어 있는 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요.,<LOCATION-TYPE_FEATURE>에 있는 트윈베드가 있는 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 트윈베드를 제공하는 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>에 있는 트윈베드가 구비된 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / 트윈베드가 구비되어 있는 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.<LOCATION-TYPE_FEATURE>에서 찾아드릴게요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_BED-OPTION,<강남>의 간이 침대를 제공하는 <호텔> 추천을 희망하시는군요./<잠실>의 간이 침대가 구비된 <모텔> 추천해드리겠습니다./간이 침대가 있는 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요./  <연남동>에서 간이 침대를 추가 할 수 있는 <게스트하우스> 원하시는군요,<LOCATION-TYPE_FEATURE>에 있는 간이 침대를 제공하는 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 간이 침대가 구비된 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / 간이 침대가 있는 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.<LOCATION-TYPE_FEATURE>에서 찾아드릴게요. / <LOCATION-TYPE_FEATURE>에서 간이 침대를 추가 할 수 있는 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_PILLOW-GOOD,<강남>의 베개 상태가 좋은 <호텔> 추천을 희망하시는군요./<잠실>의 상태 좋은 베개를 제공하는 <모텔> 추천해드리겠습니다./<분당>의 편한 베개를 갖춘 <호텔>  추천을 희망하시는군요./상태 좋은 베개가 있는 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요./  <연남동>에서 베개 퀄리티가 좋은 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 베개 상태가 좋은 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 상태 좋은 베개를 제공하는 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>에 있는 편한 베개를 갖춘 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / 상태 좋은 베개가 있는 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.<LOCATION-TYPE_FEATURE>에서 찾아드릴게요. / <LOCATION-TYPE_FEATURE>에서 베개 퀄리티가 좋은 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_BED-NUMBER,<강남>의 침대 개수가 많은 <호텔> 추천을 희망하시는군요./<잠실>의 많은 침대를 갖춘 <모텔> 추천해드리겠습니다./ 많은 침대가 구비된 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요.,<LOCATION-TYPE_FEATURE>에 있는 침대 개수가 많은 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 많은 침대를 갖춘 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / 많은 침대가 구비된 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요. <LOCATION-TYPE_FEATURE>에서 찾아드릴게요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_HOT-WATER,<강남>의 온수가 잘 나오는 <호텔> 추천을 희망하시는군요./<분당>의 뜨거운 물이 잘 나오는 <호텔>  추천을 희망하시는군요./  <연남동>에서 따뜻한 물이 잘 나오는 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 온수가 잘 나오는 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 뜨거운 물이 잘 나오는<ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에서 따뜻한 물이 잘 나오는 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_SOUND-PROOF,<강남>의 방음이 잘 되는 <호텔> 추천을 희망하시는군요./<분당>의 방음시설이 잘 갖추어져 있는 <호텔>  추천을 희망하시는군요./  <연남동>에서 방음설비가 잘 되어 있는 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 방음이 잘 되는 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 방음시설이 잘 되어 있는 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에서 방음설비가 잘 되어 있는 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_WATER-POWER,<강남>의 수압이 강한 <호텔> 추천을 희망하시는군요./<잠실>의 물세기가 강한 <모텔> 추천해드리겠습니다./  <연남동>에서 수압이 센 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 수압이 강한 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 물세기가 강한 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>에서 수압이 센 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_FIRE-PLACE,<강남>의 불멍 할 수 있는 <호텔> 추천을 희망하시는군요./<잠실>의 불멍 때릴 수 있는 <모텔> 추천해드리겠습니다./<분당>의 불멍이 가능한 <호텔>  추천을 희망하시는군요./ 불멍을 즐길 수 있는 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요./  <연남동>에서 불멍이 가능한 시설을 갖춘 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 불멍 할 수 있는 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 불멍 때릴 수 있는 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>에 있는 불멍이 가능한 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / 불멍을 즐길 수 있는 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.<LOCATION-TYPE_FEATURE>에서 찾아드릴게요. / <LOCATION-TYPE_FEATURE>에서 불멍이 가능한 시설을 갖춘 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_PROVIDED,<강남>의 <TV> 구비된 <호텔> 추천을 희망하시는군요./<잠실>의 <음료> 있는 <모텔> 추천해드리겠습니다./<분당>의 <드라이기>  제공하는 <호텔>  추천을 희망하시는군요./ <주전자> 갖춘 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요./  <연남동>에서 <에어컨> 비치된 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 <PROVIDED_FEATURE> 구비된 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 <PROVIDED_FEATURE> 있는 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>에 있는 <PROVIDED_FEATURE> 제공하는 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <PROVIDED_FEATURE> 갖춘 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요. <LOCATION-TYPE_FEATURE>에서 찾아드릴게요. / <LOCATION-TYPE_FEATURE>에서 <PROVIDED_FEATURE> 비치된 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_CLEANESS,<강남>의 객실 상태가 깨끗한 <호텔> 추천을 희망하시는군요./<분당>의 객실이 깨끗한 <호텔>  추천을 희망하시는군요./  <연남동>에서 객실이 깔끔한 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 객실 상태가 깨끗한 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 객실이 깨끗한 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에서 객실이 깔끔한 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_SIZE,<강남>의 객실 규모가 큰 <호텔> 추천을 희망하시는군요./<잠실>의 방 규모가 큰 <모텔> 추천해드리겠습니다./<분당>의 규모가 큰 객실을 갖춘 <호텔>  추천을 희망하시는군요./객실 규모가 넓은 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요./  <연남동>에서 넓은 객실을 갖춘 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 객실 규모가 큰 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 방 규모가 큰 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>에 있는 규모가 큰 객실을 갖춘 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / 객실 규모가 넓은 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요. <LOCATION-TYPE_FEATURE>에서 찾아드릴게요. / <LOCATION-TYPE_FEATURE>에서 넓은 객실을 갖춘 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_PRICE,<강남>의 가성비 좋은 <호텔> 추천을 희망하시는군요./<잠실>의 저렴하지만 좋은 <모텔> 추천해드리겠습니다./<분당>의 가격대비 훌륭한 <호텔>  추천을 희망하시는군요./ 가성비 훌륭한 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요./  <연남동>에서 가성비 괜찮은 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 가성비 좋은 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 저렴하지만 좋은 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>에 있는 가격대비 훌륭한 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / 가성비 훌륭한 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요. <LOCATION-TYPE_FEATURE>에서 찾아드릴게요. / <LOCATION-TYPE_FEATURE>에서 가성비 괜찮은 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_INTERIOR-GOOD,<강남>의 인테리어가 예쁜 <호텔> 추천을 희망하시는군요./<잠실>의 인테리어가 잘 된 <모텔> 추천해드리겠습니다./<분당>의 예쁜 인테리어를 갖춘 <호텔>  추천을 희망하시는군요./인테리어가 잘 되어 있는 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요./  <연남동>에서 인테리어가 괜찮은 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 인테리어가 예쁜 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 인테리어가 잘 된 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>에 있는 예쁜 인테리어를 갖춘<ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / 인테리어가 예쁜 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요. <LOCATION-TYPE_FEATURE>에서 찾아드릴게요. / <LOCATION-TYPE_FEATURE>에서 인테리어가 괜찮은 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
